earlier_count,earlier_period,later_count,later_period,month,revision
1236,2025-Q1,1236,2025-Q2,2023-04,0
1249,2025-Q1,1249,2025-Q2,2023-05,0
1516,2025-Q1,1516,2025-Q2,2023-06,0
1553,2025-Q1,1553,2025-Q2,2023-07,0
1570,2025-Q1,1570,2025-Q2,2023-08,0
1567,2025-Q1,1567,2025-Q2,2023-09,0
1499,2025-Q1,1499,2025-Q2,2023-10,0
1277,2025-Q1,1277,2025-Q2,2023-11,0
950,2025-Q1,950,2025-Q2,2023-12,0
1081,2025-Q1,1081,2025-Q2,2024-01,0
1159,2025-Q1,1159,2025-Q2,2024-02,0
1161,2025-Q1,1161,2025-Q2,2024-03,0
1218,2025-Q1,1218,2025-Q2,2024-04,0
1334,2025-Q1,1334,2025-Q2,2024-05,0
2762,2025-Q1,2761,2025-Q2,2024-06,-1
1652,2025-Q1,1652,2025-Q2,2024-07,0
1574,2025-Q1,1574,2025-Q2,2024-08,0
1362,2025-Q1,1362,2025-Q2,2024-09,0
1549,2025-Q1,1549,2025-Q2,2024-10,0
1305,2025-Q1,1305,2025-Q2,2024-11,0
1357,2025-Q1,1356,2025-Q2,2024-12,-1
1811,2025-Q1,1810,2025-Q2,2025-01,-1
1691,2025-Q1,1690,2025-Q2,2025-02,-1
1599,2025-Q1,1592,2025-Q2,2025-03,-7
1443,2025-Q2,1443,2025-Q3,2023-01,0
1289,2025-Q2,1289,2025-Q3,2023-02,0
2076,2025-Q2,2076,2025-Q3,2023-03,0
1236,2025-Q2,1236,2025-Q3,2023-04,0
1249,2025-Q2,1249,2025-Q3,2023-05,0
1516,2025-Q2,1516,2025-Q3,2023-06,0
1553,2025-Q2,1553,2025-Q3,2023-07,0
1570,2025-Q2,1570,2025-Q3,2023-08,0
1567,2025-Q2,1567,2025-Q3,2023-09,0
1499,2025-Q2,1499,2025-Q3,2023-10,0
1277,2025-Q2,1277,2025-Q3,2023-11,0
950,2025-Q2,950,2025-Q3,2023-12,0
1081,2025-Q2,1081,2025-Q3,2024-01,0
1159,2025-Q2,1159,2025-Q3,2024-02,0
1161,2025-Q2,1161,2025-Q3,2024-03,0
1218,2025-Q2,1218,2025-Q3,2024-04,0
1334,2025-Q2,1334,2025-Q3,2024-05,0
2761,2025-Q2,2761,2025-Q3,2024-06,0
1652,2025-Q2,1652,2025-Q3,2024-07,0
1574,2025-Q2,1572,2025-Q3,2024-08,-2
1362,2025-Q2,1362,2025-Q3,2024-09,0
1549,2025-Q2,1549,2025-Q3,2024-10,0
1305,2025-Q2,1305,2025-Q3,2024-11,0
1356,2025-Q2,1356,2025-Q3,2024-12,0
1810,2025-Q2,1808,2025-Q3,2025-01,-2
1690,2025-Q2,1689,2025-Q3,2025-02,-1
1592,2025-Q2,1585,2025-Q3,2025-03,-7
1610,2025-Q2,1606,2025-Q3,2025-04,-4
1630,2025-Q2,1594,2025-Q3,2025-05,-36
1739,2025-Q2,1715,2025-Q3,2025-06,-24
1443,2025-Q3,1443,2025-Q4,2023-01,0
1289,2025-Q3,1289,2025-Q4,2023-02,0
2076,2025-Q3,2076,2025-Q4,2023-03,0
1236,2025-Q3,1236,2025-Q4,2023-04,0
1249,2025-Q3,1249,2025-Q4,2023-05,0
1516,2025-Q3,1516,2025-Q4,2023-06,0
1553,2025-Q3,1553,2025-Q4,2023-07,0
1570,2025-Q3,1570,2025-Q4,2023-08,0
1567,2025-Q3,1567,2025-Q4,2023-09,0
1499,2025-Q3,1499,2025-Q4,2023-10,0
1277,2025-Q3,1277,2025-Q4,2023-11,0
950,2025-Q3,950,2025-Q4,2023-12,0
1081,2025-Q3,1081,2025-Q4,2024-01,0
1159,2025-Q3,1159,2025-Q4,2024-02,0
1161,2025-Q3,1161,2025-Q4,2024-03,0
1218,2025-Q3,1218,2025-Q4,2024-04,0
1334,2025-Q3,1334,2025-Q4,2024-05,0
2761,2025-Q3,2761,2025-Q4,2024-06,0
1652,2025-Q3,1652,2025-Q4,2024-07,0
1572,2025-Q3,1571,2025-Q4,2024-08,-1
1362,2025-Q3,1362,2025-Q4,2024-09,0
1549,2025-Q3,1549,2025-Q4,2024-10,0
1305,2025-Q3,1305,2025-Q4,2024-11,0
1356,2025-Q3,1355,2025-Q4,2024-12,-1
1808,2025-Q3,1807,2025-Q4,2025-01,-1
1689,2025-Q3,1689,2025-Q4,2025-02,0
1585,2025-Q3,1584,2025-Q4,2025-03,-1
1606,2025-Q3,1606,2025-Q4,2025-04,0
1594,2025-Q3,1594,2025-Q4,2025-05,0
1715,2025-Q3,1715,2025-Q4,2025-06,0
2176,2025-Q3,2176,2025-Q4,2025-07,0
1608,2025-Q3,1608,2025-Q4,2025-08,0
1799,2025-Q3,1708,2025-Q4,2025-09,-91
1443,2025-Q4,1443,2026-Q1,2023-01,0
1289,2025-Q4,1289,2026-Q1,2023-02,0
2076,2025-Q4,2076,2026-Q1,2023-03,0
1236,2025-Q4,1236,2026-Q1,2023-04,0
1249,2025-Q4,1249,2026-Q1,2023-05,0
1516,2025-Q4,1516,2026-Q1,2023-06,0
1553,2025-Q4,1553,2026-Q1,2023-07,0
1570,2025-Q4,1570,2026-Q1,2023-08,0
1567,2025-Q4,1567,2026-Q1,2023-09,0
1499,2025-Q4,1499,2026-Q1,2023-10,0
1277,2025-Q4,1277,2026-Q1,2023-11,0
950,2025-Q4,950,2026-Q1,2023-12,0
1081,2025-Q4,1081,2026-Q1,2024-01,0
1159,2025-Q4,1159,2026-Q1,2024-02,0
1161,2025-Q4,1161,2026-Q1,2024-03,0
1218,2025-Q4,1218,2026-Q1,2024-04,0
1334,2025-Q4,1334,2026-Q1,2024-05,0
2761,2025-Q4,2761,2026-Q1,2024-06,0
1652,2025-Q4,1652,2026-Q1,2024-07,0
1571,2025-Q4,1570,2026-Q1,2024-08,-1
1362,2025-Q4,1362,2026-Q1,2024-09,0
1549,2025-Q4,1549,2026-Q1,2024-10,0
1305,2025-Q4,1305,2026-Q1,2024-11,0
1355,2025-Q4,1355,2026-Q1,2024-12,0
1807,2025-Q4,1807,2026-Q1,2025-01,0
1689,2025-Q4,1689,2026-Q1,2025-02,0
1584,2025-Q4,1583,2026-Q1,2025-03,-1
1606,2025-Q4,1606,2026-Q1,2025-04,0
1594,2025-Q4,1594,2026-Q1,2025-05,0
1715,2025-Q4,1715,2026-Q1,2025-06,0
2176,2025-Q4,2176,2026-Q1,2025-07,0
1608,2025-Q4,1607,2026-Q1,2025-08,-1
1708,2025-Q4,1708,2026-Q1,2025-09,0
1538,2025-Q4,1537,2026-Q1,2025-10,-1
1331,2025-Q4,1330,2026-Q1,2025-11,-1
1408,2025-Q4,1407,2026-Q1,2025-12,-1
1443,2026-Q1,1443,2026-Q2,2023-01,0
1289,2026-Q1,1289,2026-Q2,2023-02,0
2076,2026-Q1,2076,2026-Q2,2023-03,0
1236,2026-Q1,1236,2026-Q2,2023-04,0
1249,2026-Q1,1249,2026-Q2,2023-05,0
1516,2026-Q1,1516,2026-Q2,2023-06,0
1553,2026-Q1,1553,2026-Q2,2023-07,0
1570,2026-Q1,1570,2026-Q2,2023-08,0
1567,2026-Q1,1567,2026-Q2,2023-09,0
1499,2026-Q1,1499,2026-Q2,2023-10,0
1277,2026-Q1,1277,2026-Q2,2023-11,0
950,2026-Q1,950,2026-Q2,2023-12,0
1081,2026-Q1,1081,2026-Q2,2024-01,0
1159,2026-Q1,1159,2026-Q2,2024-02,0
1161,2026-Q1,1161,2026-Q2,2024-03,0
1218,2026-Q1,1218,2026-Q2,2024-04,0
1334,2026-Q1,1334,2026-Q2,2024-05,0
2761,2026-Q1,2761,2026-Q2,2024-06,0
1652,2026-Q1,1652,2026-Q2,2024-07,0
1570,2026-Q1,1570,2026-Q2,2024-08,0
1362,2026-Q1,1362,2026-Q2,2024-09,0
1549,2026-Q1,1549,2026-Q2,2024-10,0
1305,2026-Q1,1305,2026-Q2,2024-11,0
1355,2026-Q1,1355,2026-Q2,2024-12,0
1807,2026-Q1,1807,2026-Q2,2025-01,0
1689,2026-Q1,1689,2026-Q2,2025-02,0
1583,2026-Q1,1583,2026-Q2,2025-03,0
1606,2026-Q1,1606,2026-Q2,2025-04,0
1594,2026-Q1,1594,2026-Q2,2025-05,0
1715,2026-Q1,1715,2026-Q2,2025-06,0
2176,2026-Q1,2176,2026-Q2,2025-07,0
1607,2026-Q1,1607,2026-Q2,2025-08,0
1708,2026-Q1,1708,2026-Q2,2025-09,0
1537,2026-Q1,1537,2026-Q2,2025-10,0
1330,2026-Q1,1330,2026-Q2,2025-11,0
1407,2026-Q1,1407,2026-Q2,2025-12,0
1690,2026-Q1,1690,2026-Q2,2026-01,0
1407,2026-Q1,1407,2026-Q2,2026-02,0
1536,2026-Q1,1533,2026-Q2,2026-03,-3
