year,time,metric_name,value,unit,measurement_class,series_kind,geo,region,province,evidence_confidence,source_url,source_note,source_quality_tier,extraction_method
2021,2021-12,estimated_plhiv,142000,count_people,model_estimate,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2021,2021-12,diagnosed_plhiv,88964,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2021,2021-12,alive_on_art,51863,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2021,2021-12,tested_for_viral_load,17129,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2021,2021-12,virally_suppressed,14547,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2022,2022-12,estimated_plhiv,164400,count_people,model_estimate,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2022,2022-12,diagnosed_plhiv,102931,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2022,2022-12,alive_on_art,63221,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2022,2022-12,tested_for_viral_load,17957,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2022,2022-12,virally_suppressed,15851,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2023,2023-12,estimated_plhiv,189000,count_people,model_estimate,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2023,2023-12,diagnosed_plhiv,119145,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2023,2023-12,alive_on_art,75300,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2023,2023-12,tested_for_viral_load,31330,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2023,2023-12,virally_suppressed,27468,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2024,2024-12,estimated_plhiv,215400,count_people,model_estimate,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2024,2024-12,diagnosed_plhiv,134892,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2024,2024-12,alive_on_art,90568,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2024,2024-12,tested_for_viral_load,41746,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2024,2024-12,virally_suppressed,36633,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2025,2025-12,estimated_plhiv,252800,count_people,model_estimate,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2025,2025-12,diagnosed_plhiv,153491,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2025,2025-12,alive_on_art,97943,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2025,2025-12,tested_for_viral_load,53987,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2025,2025-12,virally_suppressed,52380,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2025,2025-12,undiagnosed_plhiv,99309,count_people,derived_gap,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Derived from the transcribed DOH table and consistent with the year-end cascade leakage figure provided by the user.,official_user_provided_slide,derived_from_user_image_ground_truth
2025,2025-12,diagnosed_not_on_art,55548,count_people,derived_gap,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Derived from the transcribed DOH table and consistent with the year-end cascade leakage figure provided by the user.,official_user_provided_slide,derived_from_user_image_ground_truth
2025,2025-12,on_art_not_suppressed,45563,count_people,derived_gap,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Derived from the transcribed DOH table and consistent with the year-end cascade leakage figure provided by the user.,official_user_provided_slide,derived_from_user_image_ground_truth
