Country,2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Burundi,0.63 ,0.52 , 0.78,,0.61 ,0.5 , 0.76,,0.55 ,0.44 , 0.7,,0.55 ,0.43 , 0.69,,0.53 ,0.41 , 0.68,,0.53 ,0.4 , 0.67,,0.57 ,0.44 , 0.74,,0.59 ,0.44 , 0.77,,0.65 ,0.5 , 0.84,,0.58 ,0.41 , 0.78,,0.7 ,0.52 , 0.93,,0.66 ,0.46 , 0.88,,0.69 ,0.46 , 0.93,,0.64 ,0.42 , 0.9,,0.68 ,0.43 , 0.95,,0.71 ,0.47 , 1,,0.68 ,0.44 , 1,,0.71 ,0.45 , 1.1,,0.65 ,0.42 , 1.1,,0.69 ,0.46 , 1.1,,0.69 ,0.49 , 1.1,,0.77 ,0.58 , 1.2,,0.74 ,0.55 , 1.1,,0.72 ,0.55 , 1.1,,0.81 ,0.64 , 1.2,
Cabo Verde,1.6 ,1.4 , 2,,1.5 ,1.3 , 1.8,,1.5 ,1.3 , 1.7,,1.5 ,1.3 , 1.7,,1.4 ,1.3 , 1.7,,1.5 ,1.3 , 1.8,,1.8 ,1.5 , 2.1,,1.9 ,1.6 , 2.3,,2.1 ,1.8 , 2.7,,2.2 ,1.9 , 2.8,,2.2 ,1.8 , 2.8,,2.4 ,2 , 3.1,,2.5 ,2.1 , 3.2,,2.8 ,2.4 , 3.6,,3.1 ,2.6 , 4,,3.1 ,2.5 , 4,,3.1 ,2.5 , 4,,2.9 ,2.4 , 3.8,,2.8 ,2.2 , 3.7,,2.9 ,2.1 , 3.9,,2.8 ,2 , 3.8,,2.7 ,1.8 , 3.8,,2.8 ,1.7 , 4,,3 ,1.8 , 4.3,,2.8 ,1.6 , 4.1,
Cambodia,2.3 ,2 , 2.6,,1.6 ,1.4 , 1.8,,1.3 ,1.1 , 1.4,,1.1 ,0.98 , 1.2,,1 ,0.91 , 1.2,,1 ,0.9 , 1.1,,1 ,0.91 , 1.1,,1.1 ,0.98 , 1.2,,1.2 ,1.1 , 1.3,,1.2 ,1.1 , 1.4,,1.2 ,1.1 , 1.4,,1.2 ,1 , 1.3,,1.1 ,0.95 , 1.2,,0.92 ,0.83 , 1,,0.83 ,0.75 , 0.91,,0.76 ,0.68 , 0.82,,0.76 ,0.68 , 0.83,,0.77 ,0.69 , 0.84,,0.79 ,0.71 , 0.86,,0.82 ,0.74 , 0.9,,0.85 ,0.77 , 0.93,,0.88 ,0.79 , 0.96,,0.91 ,0.82 , 1,,0.85 ,0.77 , 0.93,,0.75 ,0.68 , 0.82,
Cameroon,2.3 ,2 , 2.6,,1.9 ,1.7 , 2.2,,1.7 ,1.5 , 1.9,,1.5 ,1.3 , 1.6,,1.3 ,1.2 , 1.5,,1.3 ,1.2 , 1.5,,1.2 ,1.1 , 1.4,,1.2 ,1 , 1.3,,1.2 ,1 , 1.3,,1.1 ,0.99 , 1.3,,1 ,0.89 , 1.2,,0.98 ,0.84 , 1.2,,0.89 ,0.76 , 1.1,,0.79 ,0.66 , 0.98,,0.74 ,0.62 , 0.94,,0.73 ,0.6 , 0.95,,0.77 ,0.62 , 1,,0.78 ,0.63 , 1.1,,0.85 ,0.67 , 1.2,,0.93 ,0.74 , 1.3,,0.98 ,0.75 , 1.3,,0.93 ,0.69 , 1.3,,0.86 ,0.61 , 1.3,,0.87 ,0.64 , 1.3,,0.94 ,0.74 , 1.3,
Canada,1.6 ,1.3 , 1.9,,1.7 ,1.3 , 2,,1.9 ,1.5 , 2.2,,2 ,1.6 , 2.4,,1.8 ,1.3 , 2.1,,1.6 ,1.2 , 1.9,,1.5 ,1.1 , 1.7,,1.4 ,1.1 , 1.7,,1.3 ,1 , 1.6,,1.7 ,1.3 , 2.1,,2.2 ,1.7 , 2.7,,1.8 ,1.4 , 2.2,,1.6 ,1.2 , 1.9,,2.2 ,1.6 , 2.6,,3.2 ,2.4 , 3.9,,3.5 ,2.6 , 4.2,,3.5 ,2.6 , 4.3,,3.5 ,2.6 , 4.2,,3.4 ,2.6 , 4.1,,3.1 ,2.3 , 3.7,,2.5 ,1.9 , 3,,2.5 ,1.9 , 3,,2.3 ,1.8 , 2.8,,... ,... , ...,,... ,... , ...,
Central African Republic,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Chad,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Chile,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
China,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Colombia,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Comoros,1.2 ,0.63 , 2.6,"Children estimates were not available at the time of publication.",1.3 ,0.63 , 2.5,"Children estimates were not available at the time of publication.",1.2 ,0.63 , 2.4,"Children estimates were not available at the time of publication.",1.2 ,0.64 , 2.3,"Children estimates were not available at the time of publication.",1.3 ,0.7 , 2.5,"Children estimates were not available at the time of publication.",1.2 ,0.62 , 2.4,"Children estimates were not available at the time of publication.",1.3 ,0.67 , 2.5,"Children estimates were not available at the time of publication.",1.3 ,0.69 , 2.7,"Children estimates were not available at the time of publication.",1.2 ,0.59 , 2.7,"Children estimates were not available at the time of publication.",1.3 ,0.66 , 2.8,"Children estimates were not available at the time of publication.",1.4 ,0.59 , 3.5,"Children estimates were not available at the time of publication.",1.8 ,0.85 , 4.4,"Children estimates were not available at the time of publication.",1.8 ,0.82 , 4.4,"Children estimates were not available at the time of publication.",1.8 ,0.88 , 4.6,"Children estimates were not available at the time of publication.",1.6 ,0.71 , 4.2,"Children estimates were not available at the time of publication.",1.5 ,0.67 , 4.2,"Children estimates were not available at the time of publication.",1.4 ,0.59 , 4.5,"Children estimates were not available at the time of publication.",1.5 ,0.62 , 4.4,"Children estimates were not available at the time of publication.",1.8 ,0.79 , 5.2,"Children estimates were not available at the time of publication.",1.9 ,0.84 , 5.2,"Children estimates were not available at the time of publication.",2 ,0.89 , 5.2,"Children estimates were not available at the time of publication.",2.1 ,0.89 , 5.3,"Children estimates were not available at the time of publication.",2.1 ,0.91 , 5.9,"Children estimates were not available at the time of publication.",2 ,0.97 , 6,"Children estimates were not available at the time of publication.",2.3 ,0.78 , 6.3,"Children estimates were not available at the time of publication."
Congo,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Costa Rica,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Croatia,6.8 ,5.4 , 8,"Children estimates were not available at the time of publication.",7.2 ,5.7 , 8.4,"Children estimates were not available at the time of publication.",7 ,5.6 , 8.3,"Children estimates were not available at the time of publication.",6.5 ,5.2 , 7.6,"Children estimates were not available at the time of publication.",6 ,4.8 , 7,"Children estimates were not available at the time of publication.",5.2 ,4.1 , 6.1,"Children estimates were not available at the time of publication.",4.6 ,3.6 , 5.4,"Children estimates were not available at the time of publication.",4.6 ,3.6 , 5.4,"Children estimates were not available at the time of publication.",4.9 ,3.8 , 5.9,"Children estimates were not available at the time of publication.",5.1 ,4 , 6.2,"Children estimates were not available at the time of publication.",5 ,3.8 , 6,"Children estimates were not available at the time of publication.",4.7 ,3.6 , 5.8,"Children estimates were not available at the time of publication.",4.6 ,3.5 , 5.6,"Children estimates were not available at the time of publication.",4.5 ,3.3 , 5.5,"Children estimates were not available at the time of publication.",4.4 ,3.2 , 5.3,"Children estimates were not available at the time of publication.",4.3 ,3.2 , 5.2,"Children estimates were not available at the time of publication.",4.1 ,3 , 5,"Children estimates were not available at the time of publication.",3.8 ,2.8 , 4.7,"Children estimates were not available at the time of publication.",3.4 ,2.4 , 4.2,"Children estimates were not available at the time of publication.",3.1 ,2.2 , 3.9,"Children estimates were not available at the time of publication.",2.7 ,1.9 , 3.5,"Children estimates were not available at the time of publication.",2.3 ,1.6 , 3.1,"Children estimates were not available at the time of publication.",2.3 ,1.6 , 3.3,"Children estimates were not available at the time of publication.",2.3 ,1.4 , 3.5,"Children estimates were not available at the time of publication.",2 ,1.1 , 3.4,"Children estimates were not available at the time of publication."
Cuba,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Cyprus,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
